account_id,industry,plan_tier,billing_cycle,account_age_years,annual_contract_value
ACCT0001,Manufacturing,Pro,Annual,4.3,74600
ACCT0002,Retail,Enterprise,Annual,3.9,228900
ACCT0003,Manufacturing,Premium,Monthly,2.3,132500
ACCT0004,Healthcare,Basic,Monthly,1.9,28700
ACCT0005,Technology,Premium,Monthly,5.2,136200
ACCT0006,Education,Enterprise,Monthly,4.5,197700
ACCT0007,Manufacturing,Enterprise,Annual,2.8,245200
ACCT0008,Manufacturing,Basic,Monthly,5.4,69400
ACCT0009,Technology,Basic,Monthly,4.5,57700
ACCT0010,Finance,Enterprise,Annual,2.9,270200
ACCT0011,Retail,Basic,Monthly,0.5,19800
ACCT0012,Education,Basic,Monthly,0.9,24600
ACCT0013,Healthcare,Basic,Annual,1.9,33900
ACCT0014,Manufacturing,Pro,Monthly,2.6,68500
ACCT0015,Finance,Premium,Annual,6.3,151200
ACCT0016,Technology,Basic,Annual,3.1,60500
ACCT0017,Finance,Basic,Monthly,3.0,39000
ACCT0018,Technology,Basic,Monthly,3.4,41100
ACCT0019,Manufacturing,Basic,Monthly,2.1,35900
ACCT0020,Healthcare,Enterprise,Monthly,1.6,228500
ACCT0021,Healthcare,Premium,Monthly,5.3,124700
ACCT0022,Retail,Pro,Annual,1.0,65900
ACCT0023,Education,Basic,Annual,1.4,27200
ACCT0024,Manufacturing,Pro,Annual,2.9,60500
ACCT0025,Manufacturing,Pro,Annual,5.7,118200
ACCT0026,Technology,Basic,Monthly,2.2,38000
ACCT0027,Finance,Basic,Monthly,2.0,26600
ACCT0028,Technology,Basic,Annual,2.8,53400
ACCT0029,Technology,Basic,Monthly,4.1,57500
ACCT0030,Healthcare,Basic,Monthly,2.5,37400
ACCT0031,Healthcare,Enterprise,Annual,6.2,336600
ACCT0032,Education,Premium,Annual,6.4,169700
ACCT0033,Retail,Premium,Annual,2.9,133700
ACCT0034,Retail,Enterprise,Annual,9.8,263900
ACCT0035,Finance,Premium,Annual,3.4,151700
ACCT0036,Technology,Pro,Monthly,6.2,110300
ACCT0037,Technology,Premium,Monthly,4.0,144400
ACCT0038,Finance,Premium,Monthly,4.0,126500
ACCT0039,Technology,Basic,Annual,0.8,22700
ACCT0040,Healthcare,Pro,Annual,1.3,57100
ACCT0041,Retail,Pro,Monthly,2.6,56000
ACCT0042,Manufacturing,Pro,Annual,6.4,81500
ACCT0043,Healthcare,Basic,Monthly,4.0,56200
ACCT0044,Retail,Basic,Monthly,2.6,25400
ACCT0045,Manufacturing,Pro,Annual,4.8,92100
ACCT0046,Manufacturing,Premium,Monthly,6.2,151800
ACCT0047,Retail,Basic,Monthly,3.2,54200
ACCT0048,Retail,Pro,Monthly,3.7,73500
ACCT0049,Healthcare,Premium,Annual,3.4,154100
ACCT0050,Technology,Premium,Monthly,3.1,127400
ACCT0051,Technology,Premium,Annual,1.8,126100
ACCT0052,Technology,Premium,Monthly,1.7,138300
ACCT0053,Manufacturing,Basic,Monthly,4.8,53800
ACCT0054,Healthcare,Enterprise,Annual,6.3,306700
ACCT0055,Healthcare,Basic,Monthly,2.6,32800
ACCT0056,Manufacturing,Premium,Annual,2.6,137400
ACCT0057,Finance,Basic,Annual,0.6,23800
ACCT0058,Finance,Basic,Monthly,0.5,21700
